hotel_id,hotel_name,hotel_start,hotel_adress,hotel_price,hotel_price_sale,hotel_url,hotel_rating_average,hotel_review,hotel_num_of_review,hotel_active,hotel_image
13801462,"Chung cư 30 m² 1 phòng ngủ, 2 phòng tắm riêng ở Phước Mỹ (Germany light)",5.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 0,9 km",80000,73703,https://www.agoda.com//vi-vn/germany-light/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,0 ,0 ,0,0 ,//pix8.agoda.net/hotelImages/agoda-homes/13801462/cf5f7bb66ac47d671b88f31e4e5152eb.jpg?ca=11&ce=1&s=450x450
741672,Pearl Paradise 4BR Ocean View  Villa [Da Nang],4.5,"Hòa Hải, Đà Nẵng - cách trung tâm 4,1 km",7468054 ,746805,https://www.agoda.com//vi-vn/pearl-paradise-4br-ocean-view-villa-da-nang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,Tuyệt vời ,8.6,29,0 ,//pix8.agoda.net/hotelImages/741672/0/9220856c9c80c9f5644bf29868a55cc1.jpg?ca=7&ce=1&s=450x450
32190580,London Hotel and Apartments Da Nang,0.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,2 km",420000 ,42000,https://www.agoda.com//vi-vn/london-hotel-and-apartments-da-nang/hotel/all/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,0 ,0 ,0,0 ,//q-xx.bstatic.com/xdata/images/hotel/max500/357373602.jpg?k=7c9bdac1021ddb7e8b4f8695d0ec18bea12cffd22cdb4cc3d847022e0c753324&s=450x450
1030702,Khách sạn Avatar Đà Nẵng (Avatar Hotel),4.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,8 km",993940,607142,"https://www.agoda.com//vi-vn/avatar-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&tspTypes=4,16&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461",Tuyệt vời ,8.3,1329,0 ,//pix8.agoda.net/hotelImages/103/1030702/1030702_16022213200040091589.jpg?ca=6&ce=1&s=450x450
5782754,Tropical Forest Đà Nẵng (Tropical Forest Danang),3.0,"Thọ Quang, Đà Nẵng - cách trung tâm 5,1 km",735980 ,73598,https://www.agoda.com//vi-vn/tropical-forest-danang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,Trên cả tuyệt vời ,9.2,16,0 ,//pix8.agoda.net/hotelImages/5782754/-1/26c9a4c20076b4a2851e30afa82b1c9c.jpg?ca=9&ce=1&s=450x450
22236209,"Biệt thự 500 m² 4 phòng ngủ, 4 phòng tắm riêng ở Hòa Hải (Modern Villa 4 Bedrooms in Furama Resort Danang)",5.0,"Hòa Hải, Đà Nẵng - cách trung tâm 4,7 km",7657528 ,765752,https://www.agoda.com//vi-vn/modern-villa-4-bedrooms-in-furama-resort-danang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,0 ,0 ,0,0 ,//pix8.agoda.net/hotelImages/22236209/0/9765cc39db8187aecdf0807f07158b7c.jpg?ca=17&ce=1&s=450x450
649064,Salina Hotel,1.5,"Hải Châu, Đà Nẵng - cách trung tâm 3,6 km",0,0,https://www.agoda.com//vi-vn/salina-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,Hài Lòng ,6.7,31,0 ,//pix8.agoda.net/hotelImages/649/649064/649064_14061720440019894415.jpg?ca=2&ce=1&s=450x450
32262297,Justay Da Nang,3.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,8 km",391844 ,39184,https://www.agoda.com//vi-vn/justay-da-nang-h32262297/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,0 ,0 ,0,0 ,//pix8.agoda.net/hotelImages/32262297/0/f8976103f4a3aeeb5df56538cc237b4a.jpg?ce=0&s=450x450
31460703,BBKiss Apartments & Coffee,0.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,0 km",533333 ,53333,https://www.agoda.com//vi-vn/bbkiss-apartments-coffee/hotel/all/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,0 ,0 ,0,0 ,//q-xx.bstatic.com/xdata/images/hotel/max500/350800177.jpg?k=8410cf621c23d931ed6830f8de10607b1f486f82edb6a81a05e745802889701d&s=450x450
23385978,NI HOUSE,0.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,6 km",407407 ,40740,https://www.agoda.com//vi-vn/ni-house/hotel/all/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,0 ,0 ,0,0 ,//q-xx.bstatic.com/xdata/images/hotel/max500/293006507.jpg?k=07dbe7cf62d3831c73de72f7e45906590d996893af41029eacc764837999cf1b&s=450x450
32183225,"Căn hộ 35 m² 1 phòng ngủ, 1 phòng tắm riêng ở Phước Mỹ (Nearby My Khe beach Dérive 401 pool apartment)",3.0,"Phước Mỹ, Đà Nẵng - cách trung tâm 1,9 km",90000,58787,https://www.agoda.com//vi-vn/nearby-my-khe-beach-derive-401-pool-apartment/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,0 ,0 ,0,0 ,//pix8.agoda.net/hotelImages/32183225/0/1a92d65d90feee47950ed280db89674b.jpg?ca=29&ce=0&s=450x450
2320571,Tam House Villa Hotel Pool View room ,4.5,"Phước Mỹ, Đà Nẵng - cách trung tâm 2,3 km",1102293 ,110229,https://www.agoda.com//vi-vn/tam-house-villa-hotel-pool-view-room/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&tspTypes=6&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,Tuyệt vời ,8.9,410,0 ,//pix8.agoda.net/hotelImages/232/2320571/2320571_17060214460053430506.jpg?ca=6&ce=1&s=450x450
22240240,"Căn hộ 200 m² 2 phòng ngủ, 2 phòng tắm riêng ở Hòa Hải (Cozy 2BR Apartment At 5 Star Resort, Near Beach)",5.0,"Hòa Hải, Đà Nẵng - cách trung tâm 10,6 km",391000,220153,https://www.agoda.com//vi-vn/cozy-2br-apartment-at-5-star-resort-near-beach/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2022-05-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=-1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flexibleDateSearchCriteria=[object Object]&isCityHaveAsq=false&los=1&searchrequestid=2db8aedf-0623-428d-b31e-7840acf89461,0 ,0 ,0,0 ,//pix8.agoda.net/hotelImages/22240240/0/4a38282cfa064a029b764dcc7de3fa84.jpg?ca=17&ce=1&s=450x450
